iter	F1	Logloss
378	0.6537519628	0.5979350511
379	0.6537157143	0.5979122273
380	0.6536919065	0.5978930161
381	0.6537003148	0.5978737736
382	0.6536661977	0.5978426454
383	0.6536177445	0.597822569
384	0.65363516	0.5978019682
385	0.6536592056	0.5977790411
386	0.6537154765	0.5977617521
387	0.6537498318	0.597743091
388	0.6537309962	0.5977260584
389	0.6537255467	0.5977080479
390	0.6537292191	0.5976795198
391	0.6537462773	0.5976547666
392	0.6537847755	0.5976290182
393	0.6538007693	0.5975995721
394	0.6537770787	0.5975794486
395	0.6537955609	0.5975609849
396	0.6538055116	0.5975439401
397	0.6538803878	0.5975225946
398	0.653935113	0.5975016494
399	0.6538795659	0.5974847298
400	0.6538787439	0.5974675591
401	0.6538881018	0.5974481765
402	0.6538745904	0.5974294013
403	0.6538827612	0.5974035065
404	0.6538920045	0.5973797226
405	0.6538236475	0.5973623292
406	0.6538225774	0.5973429316
407	0.6538308651	0.5973268159
408	0.6538442589	0.5973043924
409	0.6538814603	0.5972818179
410	0.6538794516	0.5972664028
411	0.6538936709	0.5972509736
412	0.6539128661	0.5972285015
413	0.65391394	0.5972059921
414	0.6539430876	0.597190095
415	0.6539430876	0.5971680417
416	0.6539680773	0.5971515771
417	0.6539618021	0.5971319435
418	0.6540081002	0.5971155196
419	0.6539926928	0.5970951549
420	0.6539672249	0.5970787992
421	0.6539789565	0.5970547926
422	0.65393975	0.59703912
423	0.6539184353	0.5970210785
424	0.6539882009	0.5970061363
425	0.6540400606	0.5969871943
426	0.6540231346	0.596970541
427	0.6540333035	0.5969541724
428	0.6540668237	0.5969407
429	0.6540400606	0.5969242665
430	0.6540474123	0.5969070362
431	0.6540789325	0.5968933272
432	0.6540604424	0.5968784034
433	0.6540815283	0.5968597142
434	0.6541171565	0.5968448641
435	0.6541820224	0.5968261409
436	0.654157646	0.5968118901
437	0.6541778162	0.5967955947
438	0.654174033	0.5967816563
439	0.6541587297	0.5967669498
440	0.6542153264	0.596752241
441	0.6542106339	0.5967375873
442	0.654249617	0.596729046
443	0.6542558857	0.5967167546
444	0.6542622576	0.5966980097
445	0.6542717111	0.5966822807
446	0.6543158689	0.5966682166
447	0.654366188	0.5966511103
448	0.6543757364	0.5966327
449	0.6543445105	0.5966154275
450	0.6544065604	0.5966006761
451	0.6543955233	0.5965873715
452	0.6543613166	0.5965748086
453	0.6544030804	0.5965635602
454	0.6544005946	0.5965488181
455	0.6543862762	0.5965287251
456	0.6544045715	0.5965155914
457	0.6544231669	0.5965016412
458	0.6544514038	0.5964854818
459	0.6544506105	0.5964717463
460	0.6544312216	0.5964591145
461	0.654453595	0.5964462339
462	0.654514352	0.596434505
463	0.6545211156	0.5964246089
464	0.6544882995	0.596411953
465	0.654470106	0.5963948024
466	0.6544855219	0.5963819757
467	0.6544282413	0.5963668881
468	0.6544574796	0.5963539321
469	0.6544835357	0.596342155
470	0.6545048127	0.5963304635
471	0.6545132723	0.5963175054
472	0.6545300773	0.5963054523
473	0.6545351452	0.5962935047
474	0.6545511605	0.5962802039
475	0.6545318699	0.5962666081
476	0.6545517582	0.5962514778
477	0.6545443957	0.5962386055
478	0.6545803939	0.5962274502
479	0.6545629926	0.5962173824
480	0.654592823	0.5962014815
481	0.6545803939	0.5961916691
482	0.6546064479	0.5961769698
483	0.6545791982	0.5961657165
484	0.654576523	0.5961488801
485	0.6545850822	0.596132195
486	0.6546044662	0.5961195667
487	0.6545982985	0.5961034283
488	0.6545728414	0.5960900435
489	0.6545659813	0.5960777135
490	0.6546288197	0.5960645856
491	0.6546493034	0.5960528385
492	0.6546932624	0.5960386203
493	0.6547130562	0.5960281056
494	0.6547341384	0.5960198393
495	0.6547161405	0.5960092345
496	0.6547222186	0.595998913
497	0.6547222186	0.5959842422
498	0.6547358447	0.5959713123
499	0.6547382402	0.5959634188
500	0.6547847797	0.5959471058
501	0.6548146065	0.5959314488
502	0.6548065506	0.5959198633
503	0.6547919033	0.5959042399
504	0.654831493	0.5958945833
505	0.6548147826	0.5958831678
506	0.6547872653	0.5958722218
507	0.6548128084	0.5958561062
508	0.654845544	0.5958438447
509	0.6548877963	0.5958322519
510	0.6549286761	0.5958209559
511	0.6549125641	0.5958094221
512	0.654941187	0.5957960272
513	0.6549679231	0.5957875044
514	0.6549617524	0.5957760681
515	0.6549609843	0.5957656081
516	0.6549908889	0.5957540571
517	0.6549878034	0.5957452257
518	0.6549793144	0.5957380597
519	0.6549836837	0.5957258452
520	0.655077939	0.5957157371
521	0.6550544567	0.5957080705
522	0.6550761361	0.5956932597
523	0.6550848722	0.5956793887
524	0.6551370447	0.5956597272
525	0.6551475832	0.5956493216
526	0.6551450202	0.5956398322
527	0.6551604495	0.5956289065
528	0.6551450202	0.5956199773
529	0.6551606061	0.5956111861
530	0.6551401303	0.5955995517
531	0.655162567	0.5955813976
532	0.6551974216	0.5955675632
533	0.655215936	0.595560092
534	0.6552314417	0.5955521946
535	0.6552643345	0.5955449135
536	0.6552537213	0.5955363765
537	0.6552370116	0.5955267383
538	0.6552926373	0.5955100311
539	0.6552716357	0.5955030702
540	0.6553129634	0.595496184
541	0.6552881969	0.5954831759
542	0.6552858623	0.5954677876
543	0.6552764536	0.5954564882
544	0.6553063362	0.5954461215
545	0.6552628287	0.5954361107
546	0.655270808	0.5954279697
547	0.6552657643	0.595416564
548	0.6552577849	0.5954042578
549	0.6552553007	0.5953920279
550	0.65527954	0.5953833927
551	0.6552851852	0.5953754239
552	0.6552839058	0.5953635872
553	0.6553118324	0.595354037
554	0.6553161978	0.5953452434
555	0.6553118324	0.595337416
556	0.6553633185	0.5953291499
557	0.6553695642	0.5953206475
558	0.6553318509	0.5953102874
559	0.6553627883	0.5953018895
560	0.6553627883	0.5952958993
561	0.6553758098	0.5952887915
562	0.6553554826	0.595278764
563	0.6553865633	0.5952707508
564	0.6554101204	0.5952610234
565	0.6554230697	0.5952533128
566	0.6554056852	0.595241649
567	0.6554212603	0.5952290688
568	0.6554343512	0.5952206721
569	0.6554406651	0.5952128392
570	0.6554332154	0.5951994968
571	0.6554612036	0.5951926544
572	0.655487379	0.59518391
573	0.6555246891	0.5951744788
574	0.6555017412	0.5951659004
575	0.6555108632	0.5951563408
